ID_Station,City,Name,Status,ID_SaveEcoBot,ID_Server,Coordinates
0002,Dnipro,"Haharina Avenue, 43",enabled,SAVEDNIPRO_008,1,"35.058606,48.44803"
0003,Kyiv,"Mykhaila Lomonosova Street, 73",enabled,SAVEDNIPRO_010,1,"30.4713752,50.3873111"
0004,Kyiv,"vulytsia Henerala Zhmachenka, 4",enabled,SAVEDNIPRO_1004,1,"30.6079481,50.458479"
0005,Kyiv,"prospekt Heroiv Stalinhrada, 6K8",enabled,SAVEDNIPRO_1274,1,"30.522702,50.494958"
0006,Kyiv,"vulytsia Saperno-Slobidska, 25/4",enabled,SAVEDNIPRO_1278,1,"30.534111,50.404417"
0007,Kyiv,"vulytsia 8-a Sadova",enabled,SAVEDNIPRO_1294,1,"30.5729412,50.4682878"
0008,Kyiv,"vulytsia Reitarska, 17",enabled,SAVEDNIPRO_1387,1,"30.5115602,50.451582"
0009,Kyiv,"vulytsia Heroiv Oborony, 13",enabled,SAVEDNIPRO_2924,1,"30.496689,50.383883"
0010,Kyiv,"vulytsia Tykhoritska, 30/7",enabled,SAVEDNIPRO_2925,1,"30.4966682,50.4003378"
0011,Kyiv,"vulytsia Zhylianska, 30A",enabled,SAVEDNIPRO_3018,1,"30.510823,50.434808"
0014,Kyiv,"Kharkivske shose, 7/1",enabled,SAVEDNIPRO_14633,1,"30.630625,50.439337"
0015,Kyiv,"Architect Verbytsky Street, 26",disabled,SAVEDNIPRO_14634,1,"30.662531,50.40708"
0016,Kyiv,"Turivska Street, 28",disabled,SAVEDNIPRO_19867,1,"30.51287,50.47357"
0017,Kyiv,"vulytsia Schyseva, 21",disabled,SAVEDNIPRO_19720,1,"30.44226,50.47521"
0018,Kyiv,"prospect Pravdy, 64G",disabled,SAVEDNIPRO_19719,1,"30.43135,50.50572"
